151.459		90		162.378		84.4892		0	1	1 	 -1 1
140.56		98.9483		143.223		92.8282		1	0	1 	 -1 0
133.593		109.107		132.981		99.4516		1	0	1 	 0 0
131.188		120		141.946		111.818		0	1	1 	 0 0
133.593		130.893		138.156		121.343		1	0	1 	 0 1
140.56		141.052		121.906		134.576		1	0	1 	 -1 0
151.459		150		140.933		143.323		0	1	1 	 0 1
140.56		158.948		116.948		158.54		0	1	1 	 1 0
133.593		169.107		114.914		168.707		1	0	1 	 -1 0
131.188		180		134.443		175.812		0	1	1 	 -1 1
133.593		190.893		137.006		197.786		1	0	1 	 0 0
140.56		201.052		136.527		206.437		0	1	1 	 1 1
151.459		210		138.642		211.244		1	0	1 	 -1 1
140.56		218.948		120.416		224.865		1	0	1 	 1 0
133.593		229.107		110.782		229.139		1	0	1 	 -1 1
131.188		240		126.704		250.515		0	1	1 	 1 0
133.592		250.893		110.276		249.754		1	0	1 	 0 0
140.56		261.052		121.593		260.736		0	1	1 	 -1 1
151.459		270		166.095		271.62		1	0	1 	 0 1
140.56		278.948		129.144		283.708		1	0	1 	 -1 0
133.592		289.107		109.685		290.258		1	0	1 	 0 0
131.188		300		111.318		295.848		0	1	1 	 1 1
133.593		310.893		132.71		303.905		1	0	1 	 1 1
140.56		321.052		147.332		329.447		0	1	1 	 -1 0
151.459		330		1e+06		1e+06		0	0	0 	 1 0
165.51		337.589		179.669		335.924		0	1	1 	 -1 0
157.635		346.102		156.514		342.399		0	1	1 	 1 0
153.545		355.285		166.949		358.568		0	1	1 	 0 0
153.545		4.715		166.971		11.3354		1	0	1 	 -1 1
157.635		13.8979		182.124		15.0216		1	0	1 	 1 1
165.51		22.4109		188.781		24.0204		1	0	1 	 0 1
176.661		30		186.295		27.4062		0	1	1 	 -1 0
165.51		37.5891		176.529		35.0102		1	0	1 	 -1 0
157.635		46.1021		169.932		45.842		0	1	1 	 -1 1
153.545		55.285		151.498		49.1916		0	1	1 	 1 0
153.545		64.715		154.975		72.8588		1	0	1 	 0 0
157.635		73.8979		139.051		71.7353		0	1	1 	 0 0
165.51		82.4109		172.209		89.2345		0	1	1 	 0 0
176.661		90		158.162		89.795		1	0	1 	 -1 0
165.51		97.5891		154.943		98.233		1	0	1 	 1 1
157.635		106.102		149.669		102.163		1	0	1 	 -1 1
153.545		115.285		144.896		119.349		0	1	1 	 0 0
153.545		124.715		141.935		130.565		1	0	1 	 0 0
157.635		133.898		158.261		125.234		1	0	1 	 0 0
165.51		142.411		167.418		147.408		0	1	1 	 1 0
176.661		150		174.615		155.103		0	1	1 	 -1 0
165.509		157.589		167.825		163.884		0	1	1 	 1 0
157.635		166.102		138.712		160.185		1	0	1 	 1 0
153.546		175.285		155.84		171.589		0	1	1 	 -1 0
153.546		184.715		160.243		181.039		0	1	1 	 1 0
157.635		193.898		177.516		197.624		1	0	1 	 -1 0
165.509		202.411		155.756		207.643		1	0	1 	 -1 0
165.51		217.589		162.013		208.987		1	0	1 	 -1 0
157.635		226.102		149.529		234.022		1	0	1 	 0 0
153.545		235.285		140.103		241.091		1	0	1 	 1 1
153.545		244.715		129.717		243.332		0	1	1 	 1 0
157.635		253.898		140.945		250.776		1	0	1 	 1 0
165.51		262.411		155.006		266.132		0	1	1 	 0 0
176.661		270		180.49		267.037		0	1	1 	 -1 0
165.51		277.589		146.935		277.163		0	1	1 	 1 0
157.635		286.102		135.228		287.986		0	1	1 	 -1 0
153.545		295.285		138.097		300.535		1	0	1 	 1 0
153.545		304.715		147.19		310.273		0	1	1 	 -1 0
157.635		313.898		163.114		319.732		1	0	1 	 0 0
165.51		322.411		176.621		329.214		1	0	1 	 0 0
