25.2587		30		32.6135		358.578		0	1	1 1
25.2587		90		25.4647		67.2179		0	1	1 1
25.2587		150		15.0224		98.3464		0	1	1 1
25.2587		210		16.2479		257.45		0	1	1 1
25.2587		270		27.1359		314.523		1	0	1 1
43.7478		0		32.9195		27.0832		1	0	1 1
50.5147		30		59.3656		42.2		0	1	1 1
43.7478		60		41.3809		37.7349		1	0	1 1
50.5147		90		65.6443		75.6795		0	1	1 1
43.7478		120		40.0036		103.73		1	0	1 1
50.5147		150		31.8331		156.804		1	0	1 1
43.7478		180		38.1479		190.789		1	0	1 1
50.5147		210		49.8757		230.993		1	0	1 1
43.7478		240		30.1432		221.019		1	0	1 1
43.7478		300		36.9543		290.815		0	1	1 1
50.5148		330		41.0474		316.064		1	0	1 1
66.8212		349.107		76.5947		347.923		1	0	1 0
66.8212		10.8934		56.559		25.1748		0	1	1 1
75.7654		30		92.0977		20.6828		1	0	1 1
66.8212		49.1066		75.481		35.5866		1	0	1 1
66.8212		70.8934		78.458		60.8232		1	0	1 1
75.7654		90		89.1396		100.584		0	1	1 1
66.8212		109.107		75.4755		116.03		0	1	1 1
66.8212		130.893		70.0675		123.733		0	1	1 1
75.7654		150		89.0524		161.742		0	1	1 1
66.8212		169.107		43.94		168.804		0	1	1 1
66.8212		190.893		49.2345		190.421		0	1	1 1
66.8212		229.107		56.6131		217.257		0	1	1 1
66.8212		250.893		76.7036		259.576		0	1	1 1
75.7654		270		68.9442		283.607		1	0	1 1
66.8212		289.107		60.2878		300.901		1	0	1 1
66.8212		310.893		71.6066		327.39		0	1	1 1
75.7654		330		68.0721		335.306		0	1	1 1
91.0523		343.898		82.0738		352.72		0	1	1 0
87.4818		0		100.208		354.162		0	1	1 0
91.0523		16.1021		111.958		9.73514		1	0	1 1
101.008		30		123.836		33.3659		1	0	1 1
91.0523		43.8979		91.7712		36.3765		1	0	1 1
87.4818		60		93.9318		55.6533		1	0	1 1
91.0523		76.1021		103.89		71.7153		1	0	1 1
91.0523		103.898		79.5185		101.016		0	1	1 1
87.4818		120		74.2329		105.069		1	0	1 1
91.0523		136.102		79.9106		135.752		1	0	1 1
91.0523		163.898		108.226		162.658		1	0	1 1
87.4818		180		67.9325		180.525		1	0	1 1
91.0523		196.102		81.568		182.348		0	1	1 1
101.008		210		83.5857		199.273		1	0	1 1
91.0523		223.898		81.0934		237.756		1	0	1 1
87.4818		240		69.3576		232.651		1	0	1 1
91.0523		256.102		87.0275		240.953		0	1	1 1
101.008		270		97.137		283.185		1	0	1 1
91.0523		283.898		67.7193		289.08		1	0	1 1
87.4817		300		79.7121		315.048		1	0	1 1
91.0523		316.102		80.829		323.025		1	0	1 1
