25.2587		30	
25.2587		90	
25.2587		150	
25.2587		210	
25.2587		270	
43.7478		0	
50.5147		30	
43.7478		60	
50.5147		90	
43.7478		120	
50.5147		150	
43.7478		180	
50.5147		210	
43.7478		240	
43.7478		300	
50.5148		330	
66.8212		349.107	
66.8212		10.8934	
75.7654		30	
66.8212		49.1066	
66.8212		70.8934	
75.7654		90	
66.8212		109.107	
66.8212		130.893	
75.7654		150	
66.8212		169.107	
66.8212		190.893	
66.8212		229.107	
66.8212		250.893	
75.7654		270	
66.8212		289.107	
66.8212		310.893	
75.7654		330	
91.0523		343.898	
87.4818		0	
91.0523		16.1021	
101.008		30	
91.0523		43.8979	
87.4818		60	
91.0523		76.1021	
91.0523		103.898	
87.4818		120	
91.0523		136.102	
91.0523		163.898	
87.4818		180	
91.0523		196.102	
101.008		210	
91.0523		223.898	
87.4818		240	
91.0523		256.102	
101.008		270	
91.0523		283.898	
87.4817		300	
91.0523		316.102	
101.008		330	
115.709		340.893	
110.065		353.413	
110.065		6.58677	
115.709		19.1066	
126.24		30	
115.709		40.8934	
110.065		53.4132	
110.065		66.5868	
115.709		79.1066	
126.24		90	
115.709		100.893	
110.065		113.413	
110.065		126.587	
115.709		139.107	
126.24		150	
115.709		160.893	
110.066		173.413	
110.066		186.587	
115.709		199.107	
126.24		210	
115.709		220.893	
110.065		233.413	
110.065		246.587	
115.709		259.107	
126.24		270	
115.709		280.893	
110.065		293.413	
110.065		306.587	
115.709		319.107	
126.24		330	
140.56		338.948	
133.593		349.107	
131.188		0	
133.593		10.8934	
140.56		21.0517	
151.459		30	
140.56		38.9483	
133.593		49.1066	
131.188		60	
133.593		70.8934	
140.56		81.0517	
151.459		90	
140.56		98.9483	
133.593		109.107	
131.188		120	
133.593		130.893	
140.56		141.052	
151.459		150	
140.56		158.948	
133.593		169.107	
131.188		180	
133.593		190.893	
140.56		201.052	
151.459		210	
140.56		218.948	
133.593		229.107	
131.188		240	
133.592		250.893	
140.56		261.052	
151.459		270	
140.56		278.948	
133.592		289.107	
131.188		300	
133.593		310.893	
140.56		321.052	
151.459		330	
165.51		337.589	
157.635		346.102	
153.545		355.285	
153.545		4.715	
157.635		13.8979	
165.51		22.4109	
176.661		30	
165.51		37.5891	
157.635		46.1021	
153.545		55.285	
153.545		64.715	
157.635		73.8979	
165.51		82.4109	
176.661		90	
165.51		97.5891	
157.635		106.102	
153.545		115.285	
153.545		124.715	
157.635		133.898	
165.51		142.411	
176.661		150	
165.509		157.589	
157.635		166.102	
153.546		175.285	
153.546		184.715	
157.635		193.898	
165.509		202.411	
165.51		217.589	
157.635		226.102	
153.545		235.285	
153.545		244.715	
157.635		253.898	
165.51		262.411	
176.661		270	
165.51		277.589	
157.635		286.102	
153.545		295.285	
153.545		304.715	
157.635		313.898	
165.51		322.411	
176.661		330	
190.511		336.587	
181.979		343.898	
176.661		351.787	
174.852		0	
